query_id,query,domain,intent,answer,latency_s,retrieved_sections,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,reciprocal_rank,context_precision,context_precision_reasoning,faithfulness,faithfulness_reasoning,faithfulness_from_llm,answer_relevance,answer_relevance_reasoning,answer_relevance_from_llm,context_recall,context_recall_reasoning,context_recall_from_llm,input_tokens,output_tokens,total_tokens,token_efficiency_score,output_ratio,judge_failures,error,rag_triad_mean,overall_score
1,Can Parliament pass a law restricting social media speech citing “public order”? How would courts test its constitutionality under Article 19?,constitutional,general_query,"
Parliament can pass a law restricting social media speech citing “public order” under Article 19(2) of the Indian Constitution. The constitutionality of such a law would be tested in court by examining whether it is a reasonable restriction on freedom of speech and expression, as guaranteed by Article 19(1)(a). Courts may consider factors like the nature of the speech, its impact on public order, and whether there are less restrictive alternatives available.",13.95,,0.0,0.0,0.0,0.0,0.0,,0.0,Score extracted from unstructured response.,True,1.0,The answer directly and completely addresses both parts of the user's question: whether Parliament can pass such a law and how courts would test its c,True,0.454,Score extracted from unstructured response.,True,732,106,838,0.1265,0.1448,0,,0.4847,0.2581
2,Is the Right to Privacy absolute in India? Under what circumstances can the State legally conduct surveillance?,constitutional,general_query,"The Right to Privacy in India is not absolute. The State can legally conduct surveillance under certain circumstances such as national security, public order, or prevention of crime.",5.91,,0.0,0.0,0.0,0.0,0.0,,0.0,The retrieved context only lists legal case names and dates and does not contain any information regarding the Right to Privacy or the circumstances u,True,1.0,The answer directly and completely addresses both parts of the user's question: whether the Right to Privacy is absolute and under what circumstances ,True,0.27,Score extracted from unstructured response.,True,740,42,782,0.0537,0.0568,0,,0.4233,0.2324
3,Can a State government refuse to implement a Central law? What remedies exist?,constitutional,general_query,"The State government cannot refuse to implement a Central law if it has been made under Article 250 or Article 251. If the State government fails to comply with such a law, they may face legal consequences as per the provisions outlined in these articles. However, if there is a conflict between a state law and a central law, the central law will prevail over the state law according to Article 254(1).

This is general legal information. For specific advice on your situation, please consult a lawyer registered with the Bar Council of India.",23.25,,0.0,0.0,0.0,0.0,0.0,,0.0,Score extracted from unstructured response.,True,0.5,Score extracted from unstructured response.,True,0.285,Score extracted from unstructured response.,True,740,138,878,0.1572,0.1865,0,,0.2617,0.1442
4,How does the “basic structure doctrine” limit constitutional amendments?,constitutional,general_query,"The basic structure doctrine limits constitutional amendments by declaring certain fundamental features of the Constitution as unalterable. These include supremacy of the Constitution, republican character of the polity, secularism, and federalism. Any amendment that seeks to alter these core principles is deemed void under this doctrine.",10.07,,0.0,0.0,0.0,0.0,0.0,,0.0,"The answer discusses the basic structure doctrine and its features, but the retrieved context only provides a list of legal case names and dates, offe",True,1.0,The answer directly and completely explains how the basic structure doctrine limits constitutional amendments by defining its mechanism and providing ,True,0.6,Score extracted from unstructured response.,True,736,68,804,0.0846,0.0924,0,,0.5333,0.2685
5,Can an FIR be quashed by the High Court? On what grounds?,criminal_procedure,general_query,"An FIR can be quashed by the High Court if it is found that there is no sufficient evidence to proceed with the case or if the proceedings are malicious or mala fide. The grounds for quashing an FIR may include lack of jurisdiction, abuse of process, or violation of fundamental rights. However, these decisions are made on a case-by-case basis and depend on the specific facts and circumstances of each case.",19.71,,0.0,0.0,0.0,0.0,0.0,,0.0,Score extracted from unstructured response.,True,1.0,"The answer directly and completely addresses both parts of the user's question, confirming that an FIR can be quashed by the High Court and listing se",True,0.4,Score extracted from unstructured response.,True,716,106,822,0.129,0.148,0,,0.4667,0.2529
6,Is anticipatory bail available for economic offences?,criminal,general_query,"Anticipatory bail is not explicitly mentioned in the provided context as being available for economic offences. However, it can be implied that anticipatory bail may be available under certain circumstances based on the general provisions outlined in Section 438 of the Code of Criminal Procedure (CrPC). This section allows a court to grant anticipatory bail if it believes that the accused is not likely to commit any offence while on bail and that there are sufficient grounds for believing that he/she will not abscond from justice.

In cases involving economic offences, such as those under IPC Section 447 (Punishment for criminal trespass), Section 227 (Violation of condition of remission of punishment), or Section 440 (Mischief committed after preparation made for causing death or hurt), the court may consider various factors while deciding on an anticipatory bail application, such as the nature and gravity of the alleged offence, the evidence available against the accused, their past criminal record, and whether they are likely to commit further offences if released on bail.

It is essential to consult a lawyer registered with the Bar Council of India for specific advice on your situation regarding anticipatory bail in economic offence cases.",33.46,447|227|440|114|449,0.0,0.0,0.0,0.0,0.0,,0.167,Score extracted from unstructured response.,True,0.9,"The answer directly addresses the question by stating that anticipatory bail can be available for economic offences under Section 438 CrPC, explaining",True,0.4,Score extracted from unstructured response.,True,1450,289,1739,0.1662,0.1993,0,,0.489,0.27
7,Can a criminal case proceed if the complainant withdraws?,criminal_procedure,general_query,"A criminal case can proceed if the complainant withdraws. The relevant section in this context is **IPC Section 291**, which deals with the continuance of nuisance after injunction to discontinue. However, it should be noted that the complainant's withdrawal may not necessarily prevent the prosecution from proceeding with the case if there is sufficient evidence against the accused.",19.07,,0.0,0.0,0.0,0.0,0.75,,0.33,Score extracted from unstructured response.,True,0.5,Score extracted from unstructured response.,True,0.1,Score extracted from unstructured response.,True,894,86,980,0.0878,0.0962,0,,0.31,0.2973
8,Does marital rape constitute an offence in India? Explain the legal position.,criminal,general_query,"Marital rape constitutes an offence in India under Section 376D of the Indian Penal Code (IPC). This section was inserted by the Criminal Law (Amendment) Act, 2013. It defines marital rape as sexual intercourse with a woman without her consent when she is not able to give consent due to being in a state of unconsciousness or being under the influence of intoxicating substance administered by the husband or any other person with his knowledge. The punishment for marital rape is rigorous imprisonment for up to 2 years and a fine.",17.5,376|497|376A|498A|377,1.0,1.0,1.0,1.0,0.75,,0.0,Score extracted from unstructured response.,True,0.0,Score extracted from unstructured response.,True,0.0,Score extracted from unstructured response.,True,1458,134,1592,0.0842,0.0919,0,,0.0,0.3709
9,Can cryptocurrency transactions attract criminal liability under existing Indian laws?,technology_law,general_query,"
Cryptocurrency transactions can attract criminal liability under existing Indian laws if they involve activities such as money laundering or fraudulent activities. The Prevention of Money Laundering Act, 2002 and the IT Act, 2000 are relevant statutes that address these issues.",9.88,395|400|402|447|394,0.0,0.0,0.0,0.0,0.25,,0.0,Score extracted from unstructured response.,True,0.95,Score extracted from unstructured response.,True,0.375,Score extracted from unstructured response.,True,1341,59,1400,0.0421,0.044,0,,0.4417,0.2692
10,"If someone's private photos are shared online without consent, what legal remedies are available?",technology_law,general_query,"If someone's private photos are shared online without consent, they can file a case under Section 354D of the Indian Penal Code (IPC), which deals with voyeurism. The victim can also seek legal remedies under the IT Act 2000, specifically Section 66E, which addresses the unauthorized transmission of private images. To initiate a case, the victim should approach the local police station and file a complaint. The police will then register an FIR (First Information Report) and initiate an investigation. If found guilty, the offender can face imprisonment up to three years or a fine, or both. It is advisable for the victim to consult with a lawyer to understand the legal process and potential remedies.",19.55,228A|346|417|501|419,0.0,0.0,0.0,0.0,0.25,,0.0,Score extracted from unstructured response.,True,0.5,Score extracted from unstructured response.,True,0.4,Score extracted from unstructured response.,True,1404,171,1575,0.1086,0.1218,0,,0.3,0.1884
